Z^2;;;p-value;;;
0;;;> 0.50;;;
0,567134103;0,4514;;0,451;;;
0,567384806;0,4513;;0,451;;;
0,567635596;0,4512;;0,451;;;
0,567886473;0,4511;;0,451;;;
0,568137437;0,451;;0,451;;;
0,568388487;0,4509;;0,451;;;
0,568639625;0,4508;;0,451;;;
0,56889085;0,4507;;0,451;;;
0,569142161;0,4506;;0,451;;;
0,56939356;0,4505;;0,451;;;
0,569645046;0,4504;;0,450;;;
0,569896619;0,4503;;0,450;;;
0,57014828;0,4502;;0,450;;;
0,570400027;0,4501;;0,450;;;
0,570651862;0,45;;0,450;;;
0,570903784;0,4499;;0,450;;;
0,571155793;0,4498;;0,450;;;
0,57140789;0,4497;;0,450;;;
0,571660075;0,4496;;0,450;;;
0,571912346;0,4495;;0,450;;;
0,572164705;0,4494;;0,449;;;
0,572417152;0,4493;;0,449;;;
0,572669687;0,4492;;0,449;;;
0,572922308;0,4491;;0,449;;;
0,573175018;0,449;;0,449;;;
0,573427815;0,4489;;0,449;;;
0,5736807;0,4488;;0,449;;;
0,573933673;0,4487;;0,449;;;
0,574186733;0,4486;;0,449;;;
0,574439881;0,4485;;0,449;;;
0,574693117;0,4484;;0,448;;;
0,574946441;0,4483;;0,448;;;
0,575199853;0,4482;;0,448;;;
0,575453353;0,4481;;0,448;;;
0,575706941;0,448;;0,448;;;
0,575960617;0,4479;;0,448;;;
0,576214381;0,4478;;0,448;;;
0,576468233;0,4477;;0,448;;;
0,576722173;0,4476;;0,448;;;
0,576976202;0,4475;;0,448;;;
0,577230318;0,4474;;0,447;;;
0,577484523;0,4473;;0,447;;;
0,577738816;0,4472;;0,447;;;
0,577993198;0,4471;;0,447;;;
0,578247668;0,447;;0,447;;;
0,578502226;0,4469;;0,447;;;
0,578756873;0,4468;;0,447;;;
0,579011608;0,4467;;0,447;;;
0,579266431;0,4466;;0,447;;;
0,579521344;0,4465;;0,447;;;
0,579776345;0,4464;;0,446;;;
0,580031434;0,4463;;0,446;;;
0,580286612;0,4462;;0,446;;;
0,580541879;0,4461;;0,446;;;
0,580797234;0,446;;0,446;;;
0,581052679;0,4459;;0,446;;;
0,581308212;0,4458;;0,446;;;
0,581563834;0,4457;;0,446;;;
0,581819544;0,4456;;0,446;;;
0,582075344;0,4455;;0,446;;;
0,582331233;0,4454;;0,445;;;
0,582587211;0,4453;;0,445;;;
0,582843277;0,4452;;0,445;;;
0,583099433;0,4451;;0,445;;;
0,583355678;0,445;;0,445;;;
0,583612012;0,4449;;0,445;;;
0,583868435;0,4448;;0,445;;;
0,584124948;0,4447;;0,445;;;
0,584381549;0,4446;;0,445;;;
0,58463824;0,4445;;0,445;;;
0,584895021;0,4444;;0,444;;;
0,58515189;0,4443;;0,444;;;
0,585408849;0,4442;;0,444;;;
0,585665898;0,4441;;0,444;;;
0,585923036;0,444;;0,444;;;
0,586180263;0,4439;;0,444;;;
0,58643758;0,4438;;0,444;;;
0,586694987;0,4437;;0,444;;;
0,586952483;0,4436;;0,444;;;
0,587210069;0,4435;;0,444;;;
0,587467745;0,4434;;0,443;;;
0,58772551;0,4433;;0,443;;;
0,587983365;0,4432;;0,443;;;
0,58824131;0,4431;;0,443;;;
0,588499345;0,443;;0,443;;;
0,58875747;0,4429;;0,443;;;
0,589015684;0,4428;;0,443;;;
0,589273989;0,4427;;0,443;;;
0,589532383;0,4426;;0,443;;;
0,589790868;0,4425;;0,443;;;
0,590049443;0,4424;;0,442;;;
0,590308108;0,4423;;0,442;;;
0,590566863;0,4422;;0,442;;;
0,590825708;0,4421;;0,442;;;
0,591084643;0,442;;0,442;;;
0,591343669;0,4419;;0,442;;;
